feature,mean_abs_shap
num__albumin_last,0.0615378425451346
num__üre_last,0.04843766411183214
num__crp_last,0.0340623608418963
num__kalsiyum_last,0.030195368782847554
num__albumin_slope,0.025763316521666094
num__crp_slope,0.025043914278078026
num__üre_slope,0.02483932658992029
num__albumin_mean,0.024465697160830156
num__ldh_last,0.02310135382096082
num__kreatinin_last,0.022980597386853974
num__ast_last,0.021613495568404
num__ldh_mean,0.015250953350992198
cat__oluşturma tarihi,0.014646976488275764
num__ggt_slope,0.012357150358550964
num__ggt_last,0.011616081561120437
num__bun_last,0.011605215614388653
num__bilirubin_last,0.009499090803247482
num__crp_mean,0.008751012031848294
cat__epikriz,0.008338430937181882
num__kalsiyum_mean,0.008032924065951262
num__ast_slope,0.007400615257038625
num__kalsiyum_slope,0.007385745835324935
num__crp_count,0.006165865718850153
num__ast_mean,0.005422248141404228
num__bun_slope,0.004923172271529434
num__alp_last,0.004801633666854154
num__üre_mean,0.004738916586902751
num__kreatinin_slope,0.004662312409893103
num__alp_slope,0.004623324440520049
num__magnezyum_last,0.00455956120065101
num__bilirubin_slope,0.004089705157602029
num__ggt_mean,0.003730666429665127
num__klor_mean,0.0030699353446303696
num__ldh_slope,0.0027322414284198047
num__sodyum_last,0.0027148868786761276
cat__işlem tipi,0.002578032587326775
num__potasyum_last,0.0025472532078395956
num__klor_last,0.0025053084419493672
cat__department,0.0024544683330367744
num__alt_count,0.0024262858018364503
num__magnezyum_mean,0.0023377656877838064
num__bilirubin_mean,0.0023104841768865343
num__alp_mean,0.002066129004117285
num__bilirubin_count,0.0020380046095954374
num__kreatinin_count,0.0020057042831021425
num__alt_last,0.0018545495079046789
num__bun_mean,0.0018533447710894968
num__kalsiyum_count,0.0018220964810755705
num__alt_slope,0.001727673881364668
num__potasyum_mean,0.001708705559468434
num__üre_count,0.001660501641908329
cat__kanser_turu,0.0016565715452388579
num__hba1c_count,0.001521355471230846
cat__atc kod,0.0015148688342532881
num__potasyum_count,0.001491420875477444
num__klor_slope,0.0013908239717839465
num__potasyum_slope,0.0013868506534941787
num__kreatinin_mean,0.0013051453683626305
num__magnezyum_slope,0.0012887078437926998
num__sodyum_mean,0.001114348931572795
num__klor_count,0.0010885482177410777
num__hba1c_mean,0.0010834657147061465
num__alt_mean,0.0010668727858616316
num__albumin_count,0.000991256930037072
num__magnezyum_count,0.0009875223813329704
num__ggt_count,0.0009777352722013547
num__hba1c_slope,0.0009698302615634219
num__doğum tarihi,0.0009108731893948346
num__ast_count,0.0008985480588399087
num__bun_count,0.000802695533110111
num__sodyum_slope,0.0007471133405988606
num__alp_count,0.0007261089993433564
num__hba1c_last,0.0006807339645998102
num__ldh_count,0.000637794458240857
num__sodyum_count,0.0005254380988363372
cat__cinsiyet,0.0003834036302073622
